source,target,somop_id,tomop_id,scode,slabel,tcode,tlabel,category,mapping type,source_visit,target_visit,source_type,source_unit,source_data_type,target_type,target_unit,target_data_type,transformation_rule
bundeltakblok_12,f6_latobb,313791,313791,snomed:6374002,bundle branch block,snomed:6374002,bundle branch block,measurement,exact match,follow-up 1 year,follow-up 1 year,multi_class_variable,,int,binary_class_variable,,int,"For harmonization, convert multi-class variables to binary classes, but accept only the degree of information loss justified by the research question"
causeofheartfailure,causc,316139,316139,snomed:84114007,heart failure,snomed:84114007,heart failure,observation,exact match,baseline time,baseline time,multi_class_variable,,int,multi_class_variable,,int,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
causeofheartfailure,docucoro,316139,316139,snomed:84114007,heart failure,snomed:84114007,heart failure,observation,exact match,baseline time,baseline time,multi_class_variable,,int,binary_class_variable,,int,"For harmonization, convert multi-class variables to binary classes, but accept only the degree of information loss justified by the research question"
causeofheartfailure,descausc,316139,316139,snomed:84114007,heart failure,snomed:84114007,heart failure,observation,exact match,baseline time,baseline time,multi_class_variable,,int,qualitative_variable,,str,"This variable pair involves categorical variable (binary or multi-class) and  a qualitative variable (string/text-based). Harmonization is conditionally possible if the qualitative variable contains a finite and consistently used set of values that can be reliably mapped to the categorical codes. Transformation requires: (1) value normalization (e.g., spelling, casing), and (2) manual or automated mapping to standardized categories. This process may incur minor information loss and should be justified based on the harmonization goal. Applicability is limited to cases where the qualitative variable represents discrete categories, not unstructured narrative text."
hypertension,preiper,316866,316866,snomed:38341003,hypertensive disorder,snomed:38341003,hypertensive disorder,condition_occurrence,exact match,baseline time,baseline time,binary_class_variable,,int,binary_class_variable,,int,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
angina01,preang,321318,321318,snomed:194828000,angina pectoris,snomed:194828000,angina pectoris,condition_occurrence,exact match,baseline time,baseline time,binary_class_variable,,int,binary_class_variable,,int,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
mi,insmitra,443962,443962,snomed:48724000,mitral valve regurgitation,snomed:48724000,mitral valve regurgitation,measurement,exact match,baseline time,baseline time,multi_class_variable,,int,binary_class_variable,,int,"For harmonization, convert multi-class variables to binary classes, but accept only the degree of information loss justified by the research question"
stopyears,prefumo,761009,761009,snomed:1311000175101,smoking assessment,snomed:1311000175101,smoking assessment,condition_occurrence,exact match,baseline time,baseline time,continuous_variable,year,int,multi_class_variable,,int,"For harmonization, you may discretize continuous variables into categorical classes, but only when the resulting information loss is acceptable for the research question. Represent each clinical domain with two elements: 1Presence/absence flag:a binary indicator showing whether an event exists, 2) Event category: a categorical field specifying which event occurred (e.g., which condition, which procedure, which device etc)."
smoking,prefumo,761009,761009,snomed:1311000175101,smoking assessment,snomed:1311000175101,smoking assessment,condition_occurrence,exact match,baseline time,baseline time,multi_class_variable,,int,multi_class_variable,,int,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
v3furo,f4_furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,exact match,follow-up 3 months,follow-up 3 months,binary_class_variable,,int,binary_class_variable,,int,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
v3furo,f4_dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,exact match,follow-up 3 months,follow-up 3 months,binary_class_variable,,int,continuous_variable,milligram,float,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
dosefurov12,f6_furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,exact match,follow-up 1 year,follow-up 1 year,continuous_variable,milligram,int,binary_class_variable,,int,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
dosefurov12,f6_dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,exact match,follow-up 1 year,follow-up 1 year,continuous_variable,milligram,int,continuous_variable,milligram,float,"For harmonization, no transformation required."
v12furo,f6_furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,exact match,follow-up 1 year,follow-up 1 year,binary_class_variable,,int,binary_class_variable,,int,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
v12furo,f6_dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,exact match,follow-up 1 year,follow-up 1 year,binary_class_variable,,int,continuous_variable,milligram,float,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
dosefurov3,f4_furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,exact match,follow-up 3 months,follow-up 3 months,continuous_variable,milligram,int,binary_class_variable,,int,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
dosefurov3,f4_dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,exact match,follow-up 3 months,follow-up 3 months,continuous_variable,milligram,int,continuous_variable,milligram,float,"For harmonization, no transformation required."
v1furo,f3_dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,exact match,follow-up 1 month,follow-up 1 month,binary_class_variable,,int,continuous_variable,milligram,float,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
v1furo,f3_furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,exact match,follow-up 1 month,follow-up 1 month,binary_class_variable,,int,binary_class_variable,,int,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
blfuro,dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,continuous_variable,milligram,float,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
blfuro,furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,binary_class_variable,,int,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
dosefurov6,f5_furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,exact match,follow-up 6 months,follow-up 6 months,continuous_variable,milligram,int,binary_class_variable,,int,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
dosefurov6,f5_dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,exact match,follow-up 6 months,follow-up 6 months,continuous_variable,milligram,int,continuous_variable,milligram,float,"For harmonization, no transformation required."
v18furo,f7_furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,exact match,follow-up 18 months,follow-up 18 months,binary_class_variable,,int,binary_class_variable,,int,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
v18furo,f7_dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,exact match,follow-up 18 months,follow-up 18 months,binary_class_variable,,int,continuous_variable,milligram,float,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
dosefurobl,dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,exact match,baseline time,baseline time,continuous_variable,milligram,int,continuous_variable,milligram,float,"For harmonization, no transformation required."
dosefurobl,furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,exact match,baseline time,baseline time,continuous_variable,milligram,int,binary_class_variable,,int,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
dosefurov18,f7_furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,exact match,follow-up 18 months,follow-up 18 months,continuous_variable,milligram,int,binary_class_variable,,int,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
dosefurov18,f7_dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,exact match,follow-up 18 months,follow-up 18 months,continuous_variable,milligram,int,continuous_variable,milligram,float,"For harmonization, no transformation required."
dosefurov1,f3_dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,exact match,follow-up 1 month,follow-up 1 month,continuous_variable,milligram,int,continuous_variable,milligram,float,"For harmonization, no transformation required."
dosefurov1,f3_furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,exact match,follow-up 1 month,follow-up 1 month,continuous_variable,milligram,int,binary_class_variable,,int,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
v6furo,f5_furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,exact match,follow-up 6 months,follow-up 6 months,binary_class_variable,,int,binary_class_variable,,int,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
v6furo,f5_dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,exact match,follow-up 6 months,follow-up 6 months,binary_class_variable,,int,continuous_variable,milligram,float,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
dosespirov1,f3_dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,exact match,follow-up 1 month,follow-up 1 month,continuous_variable,milligram,int,continuous_variable,milligram,float,"For harmonization, no transformation required."
dosespirov1,f3_spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,exact match,follow-up 1 month,follow-up 1 month,continuous_variable,milligram,int,binary_class_variable,,int,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
dosespirov3,f4_dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,exact match,follow-up 3 months,follow-up 3 months,continuous_variable,milligram,int,continuous_variable,milligram,float,"For harmonization, no transformation required."
dosespirov3,f4_spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,exact match,follow-up 3 months,follow-up 3 months,continuous_variable,milligram,int,binary_class_variable,,int,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
dosespirobl,dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,exact match,baseline time,baseline time,continuous_variable,milligram,int,continuous_variable,milligram,float,"For harmonization, no transformation required."
dosespirobl,spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,exact match,baseline time,baseline time,continuous_variable,milligram,int,binary_class_variable,,int,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
spiroadjbl,dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,exact match,baseline time,baseline time,multi_class_variable,,int,continuous_variable,milligram,float,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
spiroadjbl,spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,exact match,baseline time,baseline time,multi_class_variable,,int,binary_class_variable,,int,"For harmonization convert multi-class variables to binary classes, but accept only the degree of information loss justified by the research question. For drug-related variables, scrutinize the surrounding categorical context—e.g., therapy adjustments or supplemental medication descriptors—before deciding on the optimal harmonization, because these details may not map cleanly onto a binary split."
spiroadj3,f4_dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,exact match,follow-up 3 months,follow-up 3 months,multi_class_variable,,int,continuous_variable,milligram,float,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
spiroadj3,f4_spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,exact match,follow-up 3 months,follow-up 3 months,multi_class_variable,,int,binary_class_variable,,int,"For harmonization convert multi-class variables to binary classes, but accept only the degree of information loss justified by the research question. For drug-related variables, scrutinize the surrounding categorical context—e.g., therapy adjustments or supplemental medication descriptors—before deciding on the optimal harmonization, because these details may not map cleanly onto a binary split."
dosespirov18,f7_spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,exact match,follow-up 18 months,follow-up 18 months,continuous_variable,milligram,int,binary_class_variable,,int,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
dosespirov18,f7_dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,exact match,follow-up 18 months,follow-up 18 months,continuous_variable,milligram,int,continuous_variable,milligram,float,"For harmonization, no transformation required."
spiroadj1,f3_dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,exact match,follow-up 1 month,follow-up 1 month,multi_class_variable,,int,continuous_variable,milligram,float,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
spiroadj1,f3_spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,exact match,follow-up 1 month,follow-up 1 month,multi_class_variable,,int,binary_class_variable,,int,"For harmonization convert multi-class variables to binary classes, but accept only the degree of information loss justified by the research question. For drug-related variables, scrutinize the surrounding categorical context—e.g., therapy adjustments or supplemental medication descriptors—before deciding on the optimal harmonization, because these details may not map cleanly onto a binary split."
spiroadj6,f5_dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,exact match,follow-up 6 months,follow-up 6 months,multi_class_variable,,int,continuous_variable,milligram,float,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
spiroadj6,f5_spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,exact match,follow-up 6 months,follow-up 6 months,multi_class_variable,,int,binary_class_variable,,int,"For harmonization convert multi-class variables to binary classes, but accept only the degree of information loss justified by the research question. For drug-related variables, scrutinize the surrounding categorical context—e.g., therapy adjustments or supplemental medication descriptors—before deciding on the optimal harmonization, because these details may not map cleanly onto a binary split."
spiroadj12,f6_dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,exact match,follow-up 1 year,follow-up 1 year,multi_class_variable,,int,continuous_variable,milligram,float,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
spiroadj12,f6_spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,exact match,follow-up 1 year,follow-up 1 year,multi_class_variable,,int,binary_class_variable,,int,"For harmonization convert multi-class variables to binary classes, but accept only the degree of information loss justified by the research question. For drug-related variables, scrutinize the surrounding categorical context—e.g., therapy adjustments or supplemental medication descriptors—before deciding on the optimal harmonization, because these details may not map cleanly onto a binary split."
dosespirov6,f5_dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,exact match,follow-up 6 months,follow-up 6 months,continuous_variable,milligram,int,continuous_variable,milligram,float,"For harmonization, no transformation required."
dosespirov6,f5_spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,exact match,follow-up 6 months,follow-up 6 months,continuous_variable,milligram,int,binary_class_variable,,int,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
dosespirov12,f6_dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,exact match,follow-up 1 year,follow-up 1 year,continuous_variable,milligram,int,continuous_variable,milligram,float,"For harmonization, no transformation required."
dosespirov12,f6_spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,exact match,follow-up 1 year,follow-up 1 year,continuous_variable,milligram,int,binary_class_variable,,int,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
hb18,f7_emoglob,3000963,3000963,loinc:718-7,hemoglobin [mass/volume] in blood,loinc:718-7,hemoglobin [mass/volume] in blood,measurement,exact match,follow-up 18 months,follow-up 18 months,continuous_variable,gram per deciliter,float,continuous_variable,gram per deciliter,float,"For harmonization, no transformation required."
hb,emoglob,3000963,3000963,loinc:718-7,hemoglobin [mass/volume] in blood,loinc:718-7,hemoglobin [mass/volume] in blood,measurement,exact match,baseline time,baseline time,continuous_variable,,float,continuous_variable,gram per deciliter,float,"For harmonization, no transformation required."
hb12,f6_emoglob,3000963,3000963,loinc:718-7,hemoglobin [mass/volume] in blood,loinc:718-7,hemoglobin [mass/volume] in blood,measurement,exact match,follow-up 1 year,follow-up 1 year,continuous_variable,gram per deciliter,float,continuous_variable,gram per deciliter,float,"For harmonization, no transformation required."
hb6,f5_emoglob,3000963,3000963,loinc:718-7,hemoglobin [mass/volume] in blood,loinc:718-7,hemoglobin [mass/volume] in blood,measurement,exact match,follow-up 6 months,follow-up 6 months,continuous_variable,gram per deciliter,float,continuous_variable,gram per deciliter,float,"For harmonization, no transformation required."
rvramean,pas,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,baseline time,baseline time,continuous_variable,millimeter mercury column,int,continuous_variable,millimeter mercury column,float,"For harmonization, no transformation required."
bpsyststand3,f4_pas,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,follow-up 3 months,follow-up 3 months,continuous_variable,millimeter mercury column,int,continuous_variable,millimeter mercury column,float,"For harmonization, no transformation required."
bpsyststand6,f5_pas,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,follow-up 6 months,follow-up 6 months,continuous_variable,millimeter mercury column,int,continuous_variable,millimeter mercury column,float,"For harmonization, no transformation required."
bpsyststand1,f3_pas,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,follow-up 1 month,follow-up 1 month,continuous_variable,millimeter mercury column,int,continuous_variable,millimeter mercury column,float,"For harmonization, no transformation required."
bpsyst12,f6_pas,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,follow-up 1 year,follow-up 1 year,continuous_variable,millimeter mercury column,int,continuous_variable,millimeter mercury column,float,"For harmonization, no transformation required."
bpsyst1,f3_pas,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,follow-up 1 month,follow-up 1 month,continuous_variable,millimeter mercury column,int,continuous_variable,millimeter mercury column,float,"For harmonization, no transformation required."
bpsyst6,f5_pas,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,follow-up 6 months,follow-up 6 months,continuous_variable,millimeter mercury column,int,continuous_variable,millimeter mercury column,float,"For harmonization, no transformation required."
bpsyst,pas,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,baseline time,baseline time,continuous_variable,millimeter mercury column,int,continuous_variable,millimeter mercury column,float,"For harmonization, no transformation required."
bpsyst18,f7_pas,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,follow-up 18 months,follow-up 18 months,continuous_variable,millimeter mercury column,int,continuous_variable,millimeter mercury column,float,"For harmonization, no transformation required."
bpsyststand12,f6_pas,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,follow-up 1 year,follow-up 1 year,continuous_variable,millimeter mercury column,int,continuous_variable,millimeter mercury column,float,"For harmonization, no transformation required."
rvra,pas,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,baseline time,baseline time,continuous_variable,millimeter mercury column,int,continuous_variable,millimeter mercury column,float,"For harmonization, no transformation required."
bpsyststand18,f7_pas,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,follow-up 18 months,follow-up 18 months,continuous_variable,millimeter mercury column,int,continuous_variable,millimeter mercury column,float,"For harmonization, no transformation required."
bpsyststanding,pas,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,baseline time,baseline time,continuous_variable,millimeter mercury column,int,continuous_variable,millimeter mercury column,float,"For harmonization, no transformation required."
bpsyst3,f4_pas,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,follow-up 3 months,follow-up 3 months,continuous_variable,millimeter mercury column,int,continuous_variable,millimeter mercury column,float,"For harmonization, no transformation required."
hdl,colehdl,3007070,3007070,loinc:2085-9,cholesterol in hdl [mass/volume] in serum or plasma,loinc:2085-9,cholesterol in hdl [mass/volume] in serum or plasma,measurement,exact match,baseline time,baseline time,continuous_variable,millimole per liter,float,continuous_variable,milligram per deciliter,float,Unit conversion required (RQ dependent)
hct,ematocri,3009542,3009542,loinc:20570-8,hematocrit [volume fraction] of blood,loinc:20570-8,hematocrit [volume fraction] of blood,measurement,exact match,baseline time,baseline time,continuous_variable,percent,float,continuous_variable,,float,"For harmonization, no transformation required."
hct6,f5_ematocri,3009542,3009542,loinc:20570-8,hematocrit [volume fraction] of blood,loinc:20570-8,hematocrit [volume fraction] of blood,measurement,exact match,follow-up 6 months,follow-up 6 months,continuous_variable,percent,float,continuous_variable,,float,"For harmonization, no transformation required."
hct12,f6_ematocri,3009542,3009542,loinc:20570-8,hematocrit [volume fraction] of blood,loinc:20570-8,hematocrit [volume fraction] of blood,measurement,exact match,follow-up 1 year,follow-up 1 year,continuous_variable,percent,float,continuous_variable,,float,"For harmonization, no transformation required."
hct18,f7_ematocri,3009542,3009542,loinc:20570-8,hematocrit [volume fraction] of blood,loinc:20570-8,hematocrit [volume fraction] of blood,measurement,exact match,follow-up 18 months,follow-up 18 months,continuous_variable,percent,float,continuous_variable,,float,"For harmonization, no transformation required."
crpsensitive,v1_hscrp,3010156,3010156,loinc:30522-7,c reactive protein [mass/volume] in serum or plasma by high sensitivity method,loinc:30522-7,c reactive protein [mass/volume] in serum or plasma by high sensitivity method,measurement,exact match,baseline time,baseline time,continuous_variable,milligram per liter,float,continuous_variable,milligram per liter,float,"For harmonization, no transformation required."
hscrp_v3,v2_hscrp,3010156,3010156,loinc:30522-7,c reactive protein [mass/volume] in serum or plasma by high sensitivity method,loinc:30522-7,c reactive protein [mass/volume] in serum or plasma by high sensitivity method,measurement,exact match,follow-up 3 months,follow-up 3 months,continuous_variable,milligram per liter,float,continuous_variable,milligram per liter,float,"For harmonization, no transformation required."
hscrp_bl,v1_hscrp,3010156,3010156,loinc:30522-7,c reactive protein [mass/volume] in serum or plasma by high sensitivity method,loinc:30522-7,c reactive protein [mass/volume] in serum or plasma by high sensitivity method,measurement,exact match,baseline time,baseline time,continuous_variable,milligram per liter,float,continuous_variable,milligram per liter,float,"For harmonization, no transformation required."
bpdiast,pad,3012888,3012888,loinc:8462-4,diastolic blood pressure,loinc:8462-4,diastolic blood pressure,measurement,exact match,baseline time,baseline time,continuous_variable,millimeter mercury column,int,continuous_variable,millimeter mercury column,float,"For harmonization, no transformation required."
